00:00:00	-8.72750302332	275.125565882	0000	37.1798171997	E
00:15:00	-11.1292929412	277.874662381	0015	37.2863960266	E
00:29:59	-13.5130596974	280.659576393	0029	37.392993927	E
00:44:59	-15.8727824801	283.490853728	0044	37.4996185303	E
00:59:59	-18.2021416569	286.379340728	0059	37.6062583923	E
01:14:59	-20.4944402273	289.336156941	0114	37.7129211426	E
01:29:59	-22.7425218605	292.372749762	0129	37.8195991516	E
01:44:59	-24.9387008863	295.500757836	0144	37.9263000488	E
01:59:59	-27.0746786246	298.731956408	0159	38.0330162048	E
02:14:59	-29.1414802071	302.078093403	0214	38.1397514343	E
02:29:59	-31.1293862745	305.55064354	0229	38.2465019226	E
02:44:59	-33.0279159014	309.160507799	0244	38.3532714844	E
02:59:59	-34.825802691	312.91738505	0259	38.4600563049	E
03:14:59	-36.5110289253	316.829362237	0314	38.5668563843	E
03:29:59	-38.070945094	320.902122077	0329	38.6736679077	E
03:44:59	-39.4924167433	325.138123438	0344	38.7804985046	E
03:59:59	-40.7620874383	329.535645112	0359	38.8873405457	E
04:14:59	-41.8667510082	334.088157439	0414	38.9941978455	E
04:29:59	-42.7937681881	338.783448041	0429	39.1010665894	E
04:44:59	-43.5316232788	343.603293972	0444	39.207950592	E
04:59:59	-44.0704569024	348.523707608	0459	39.3148422241	E
05:14:59	-44.4026226621	353.515346458	0514	39.421749115	E
05:29:59	-44.5231515953	358.544988479	0529	39.5286636353	E
05:44:59	-44.4300663622	3.57710987377	0544	39.6355895996	E
05:59:59	-44.1245178497	8.57601198885	0559	39.7425270081	E
06:14:59	-43.6106963788	13.507837164	0614	39.8494720459	E
06:29:59	-42.8955414218	18.3424064217	0629	39.9564285278	E
06:44:59	-41.9883113	23.0545607603	0644	40.0633888245	E
06:59:59	-40.9000538444	27.6249391547	0659	40.1703605652	E
07:14:59	-39.6430360749	32.0401646795	0714	40.2773361206	E
07:29:59	-38.2302114451	36.2925653247	0729	40.3843231201	E
07:44:59	-36.6747622201	40.3795490335	0744	40.4913139343	E
07:59:59	-34.9897101556	44.3027789569	0759	40.5983085632	E
08:14:59	-33.1876603658	48.0673162651	0814	40.7053108215	E
08:29:59	-31.2805861721	51.6807595436	0829	40.8123168945	E
08:44:59	-29.2797403114	55.1525344534	0844	40.9193305969	E
08:59:59	-27.1955866333	58.4932482784	0859	41.0263442993	E
09:14:59	-25.0378086387	61.7142152268	0914	41.1333618164	E
09:29:59	-22.8153385073	64.8270807712	0929	41.2403831482	E
09:44:59	-20.536403202	67.8435655163	0944	41.3474082947	E
09:59:59	-18.2085944781	70.7752807835	0959	41.4544334412	E
10:14:59	-15.8389423079	73.6336124983	1014	41.5614585876	E
10:29:59	-13.4339857436	76.429693869	1029	41.6684875488	E
10:44:59	-10.9998557338	79.1743507455	1044	41.7755126953	E
10:59:59	-8.54234769398	81.87813577	1059	41.8825416565	E
11:14:59	-5.90581185831	84.5513761885	1114	41.9895706177	E
11:29:59	-2.20686186847	87.2041875111	1129	42.0965957642	E
11:44:59	-0.42285292941	89.846569135	1144	42.2036209106	E
11:59:59	1.73197578423	92.4884248342	1159	42.3106422424	E
12:14:59	4.0951039499	95.1396788738	1214	42.4176635742	E
12:29:59	6.5213779615	97.81031016	1229	42.5246810913	E
12:44:59	8.96128503068	100.510434203	1244	42.6316947937	E
12:59:59	11.3943324555	103.250337268	1259	42.7387046814	E
13:14:59	13.8086489403	106.040571997	1314	42.8457107544	E
13:29:59	16.1958179845	108.891930088	1329	42.952709198	E
13:44:59	18.5458982477	111.81551743	1344	43.0597076416	E
13:59:59	20.8520535643	114.822719948	1359	43.1666946411	E
14:14:59	23.1059084149	117.925142134	1414	43.2736778259	E
14:29:59	25.2986091668	121.134511421	1429	43.3806533813	E
14:44:59	27.4206823476	124.462507434	1444	43.4876251221	E
14:59:59	29.4619287773	127.920522927	1459	43.5945854187	E
15:14:59	31.4113672193	131.519281299	1514	43.7015380859	E
15:29:59	33.2572326726	135.268385795	1529	43.8084831238	F
15:44:59	34.9869985705	139.175677472	1544	43.9154205322	F
15:59:59	36.5874928931	143.24656584	1559	44.0223464966	F
16:14:59	38.0450825827	147.483127276	1614	44.1292648315	F
16:29:59	39.3459535818	151.883271743	1629	44.2361679077	F
16:44:59	40.4764899083	156.439909505	1644	44.3430633545	F
16:59:59	41.4237381085	161.140254446	1659	44.4499473572	F
17:14:59	42.1759741625	165.96559185	1714	44.5568199158	F
17:29:59	42.723287466	170.891264732	1729	44.6636810303	F
17:44:59	43.0581272448	175.88754811	1744	44.770526886	F
17:59:59	43.1757806683	180.920823792	1759	44.8773612976	F
18:14:59	43.0746938686	185.955410871	1814	44.9841804504	F
18:29:59	42.7565812231	190.955614777	1829	45.0909881592	F
18:44:59	42.2262989963	195.887776339	1844	45.1977806091	F
18:59:59	41.4915584718	200.722074951	1859	45.3045578003	F
19:14:59	40.5624307636	205.433826308	1914	45.411315918	F
19:29:59	39.4508004007	210.004220071	1929	45.5180625916	F
19:44:59	38.1697779313	214.420429143	1944	45.6247940063	F
19:59:59	36.7331364318	218.675281826	1959	45.7315063477	F
20:14:59	35.1548607147	222.766688082	2014	45.8381996155	F
20:29:59	33.4487409317	226.696696968	2029	45.9448776245	F
20:44:59	31.6281096122	230.470717994	2044	46.0515365601	F
20:59:59	29.7056572476	234.096674179	2059	46.1581802368	F
21:14:59	27.6933178861	237.584141448	2114	46.2648010254	F
21:29:59	25.6022332736	240.943966143	2129	46.3714027405	F
21:44:59	23.4427682222	244.187568338	2144	46.4779891968	F
